Event Name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
Tower of now,Bradford - City Centre,weekly,22/08/2025,605218.91,86459.84,473043.5093,67577.64084,132175.4007,18882.19916,YES
Tower of now,Bradford - City Centre,weekly,23/08/2025,581092.97,83013.28,454186.4988,64883.78443,126906.4712,18129.49557,YES
Tower of now,Bradford - City Centre,weekly,24/08/2025,602690.67,86098.67,471067.4185,67295.34773,131623.2515,18803.32227,YES
Tower of now,Bradford - City Centre,weekly,25/08/2025,558323.07,79760.44,436389.3791,62341.34099,121933.6909,17419.09901,YES
Tower of now,Bradford - City Centre,weekly,25/08/2025,581433.71,83061.96,454452.8237,64921.83307,126980.8863,18140.12693,YES
Tower of now,Bradford - City Centre,weekly,26/08/2025,526084.94,75154.99,411191.8218,58741.68772,114893.1182,16413.30228,YES
Tower of now,Bradford - City Centre,weekly,27/08/2025,520393.84,74341.98,406743.6166,58106.23318,113650.2234,16235.74682,YES
Tower of now,Bradford - City Centre,weekly,28/08/2025,540135.08,77162.15,422173.5136,60310.4986,117961.5664,16851.6514,YES
Tower of now,Bradford - City Centre,weekly,29/08/2025,556540.95,79505.85,434996.4611,62142.35159,121544.4889,17363.49841,YES
Tower of now,Bradford - City Centre,weekly,30/08/2025,538507.95,76929.71,420901.737,60128.8218,117606.213,16800.8882,YES
Tower of now,Bradford - City Centre,weekly,31/08/2025,527327.85,75332.55,412163.2893,58880.46991,115164.5607,16452.08009,YES
Tower of now,Bradford - City Centre,weekly,01/09/2025,561615.27,80230.75,438962.5866,62708.93871,122652.6834,17521.81129,YES
Tower of now,Bradford - City Centre,weekly,01/09/2025,608771.21,86967.32,475820.0129,67974.2909,132951.1971,18993.0291,YES
Tower of now,Bradford - City Centre,weekly,01/09/2025,584132.99,83447.57,456562.6006,65223.22866,127570.3894,18224.34134,YES
Tower of now,Bradford - City Centre,weekly,02/09/2025,632151.94,90307.42,494094.5618,70584.9374,138057.3782,19722.4826,YES
Tower of now,Bradford - City Centre,weekly,03/09/2025,655451.81,93635.97,512305.9099,73186.55633,143145.9001,20449.41367,YES
Tower of now,Bradford - City Centre,weekly,04/09/2025,601573.57,85939.08,470194.285,67170.61103,131379.285,18768.46897,YES
Tower of now,Bradford - City Centre,weekly,05/09/2025,621287.43,88755.35,485602.7816,69371.82818,135684.6484,19383.52182,YES
Tower of now,Bradford - City Centre,weekly,06/09/2025,606554.9,86650.7,474087.7288,67726.8184,132467.1712,18923.8816,YES
Tower of now,Bradford - City Centre,weekly,07/09/2025,637669.79,91095.68,498407.3535,71201.04715,139262.4365,19894.63285,YES
